key,type,side,segment,superclass,nt,count,peak_activity,gf_silenced_peak
5-HTPLP01|L|,5-HTPLP01,L,,cb_intrinsic,glutamate,1,0.0449097718625687,0.044878675729117086
5-HTPLP01|R|,5-HTPLP01,R,,cb_intrinsic,glutamate,1,0.04272528890770235,0.04269288918518173
5-HTPMPD01|L|,5-HTPMPD01,L,,cb_intrinsic,serotonin,1,0.007895099789346816,0.0031371294433591994
5-HTPMPD01|R|,5-HTPMPD01,R,,cb_intrinsic,serotonin,1,0.006277187542619289,0.002216370773827436
5-HTPMPV01|L|,5-HTPMPV01,L,,cb_intrinsic,serotonin,1,0.005128239145207459,0.004622199385036873
5-HTPMPV01|R|,5-HTPMPV01,R,,cb_intrinsic,serotonin,1,0.0049530551366148605,0.004407757738666442
5-HTPMPV03|L|,5-HTPMPV03,L,,visual_centrifugal,serotonin,1,0.0032645415889981837,0.003018672882290648
5-HTPMPV03|R|,5-HTPMPV03,R,,visual_centrifugal,serotonin,1,0.0038593363734712393,0.0036162324495812117
5thsLNv_LNd6|L|,5thsLNv_LNd6,L,,visual_projection,acetylcholine,2,7.367174295623762e-06,5.756104569443786e-05
5thsLNv_LNd6|R|,5thsLNv_LNd6,R,,visual_projection,acetylcholine,2,0.0,7.030849355491981e-05
ADNM1 MN|L|T1,ADNM1 MN,L,T1,vnc_motor,unclear,1,0.000560342046455166,0.0005726457727972606
ADNM1 MN|R|T1,ADNM1 MN,R,T1,vnc_motor,unclear,1,0.00010076572681574962,8.34785233942957e-05
ADNM2 MN|L|T1,ADNM2 MN,L,T1,vnc_motor,unclear,1,0.0,0.0
ADNM2 MN|R|T1,ADNM2 MN,R,T1,vnc_motor,unclear,1,2.238488678212528e-05,8.468912293832829e-05
AL-AST1|L|,AL-AST1,L,,cb_intrinsic,acetylcholine,1,0.0059868452072495216,0.00040827793748433606
AL-AST1|R|,AL-AST1,R,,cb_intrinsic,acetylcholine,2,0.0069714636470164515,0.0003176148778287855
AL-MBDL1|L|,AL-MBDL1,L,,cb_intrinsic,acetylcholine,1,0.007982946835374793,0.00120213982933111
AL-MBDL1|R|,AL-MBDL1,R,,cb_intrinsic,acetylcholine,1,0.010365693100453304,0.001302680636282443
ALBN1|L|,ALBN1,L,,cb_intrinsic,unclear,1,0.016297483846336402,0.0027398658584506736
